location_name,watershed_name,rainfall(mm),Lat_DD,Lon_DD,date,year,UTM_Easting,UTM_Northing,UTM_Zone
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-11,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-12,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-13,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-14,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-15,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-17,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-18,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-19,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-20,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-21,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-22,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-23,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-24,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-25,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,2.0,-7.011333333333333,110.13580555555556,2023-12-26,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-27,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,38.0,-7.011333333333333,110.13580555555556,2023-12-28,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,37.0,-7.011333333333333,110.13580555555556,2023-12-29,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-30,2023,404547.6055736138,9224910.398488997,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-01,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,20.0,-5.156388888888889,110.09166666666667,2023-01-02,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,5.0,-5.156388888888889,110.09166666666667,2023-01-03,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-04,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,11.0,-5.156388888888889,110.09166666666667,2023-01-05,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,5.0,-5.156388888888889,110.09166666666667,2023-01-06,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,35.0,-5.156388888888889,110.09166666666667,2023-01-07,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,4.0,-5.156388888888889,110.09166666666667,2023-01-08,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,7.0,-5.156388888888889,110.09166666666667,2023-01-09,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-10,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-11,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-12,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,7.0,-5.156388888888889,110.09166666666667,2023-01-13,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-14,2023,399327.383090334,9429976.947267232,49S
Patean Curug,K.Blukar,0.0,-5.156388888888889,110.09166666666667,2023-01-15,2023,399327.383090334,9429976.947267232,49S
